title,link,channel,description,tags,duration
WATCH: Surveillance video shows arson suspect who allegedly set fire to Dunkin',https://www.youtube.com/watch?v=rgOCcmwCBPw,6abc Philadelphia,"Police release video of arson suspect who allegedly set fire to Dunkin'

READ: https://6abc.com/dunkin-fire-arson-suspect-philadelphia-police-investigation-surveillance-footage/13231554/",news,0:32
Arsonist Caught on Camera as He Torches SUV,https://www.youtube.com/watch?v=WMiEjQvNgW0,Inside Edition,"Shocking video released by police in California shows what cops say is a suspect's brazen torching of an SUV in broad daylight. ""Help us ID this arsonist,"" the Stockton Police Department wrote in a Facebook post along with a video in which the suspect appears to pour a flammable liquid on a parked vehicle before setting it on fire. InsideEdition.com's Leigh Scheps (http://twitter.com/LeighTVReporter) has more. #InsideEdition","info, stockton, asron, california, ie newsdesk, on fire, reward, inside edition, wanted, inside_edition, cat-crime, arsonist, flames, suv, driveway",0:44
Man Stops Arson Suspect From Throwing 2nd Molotov Cocktail,https://www.youtube.com/watch?v=YnThQDxEG1E,Inside Edition,"A man tried to stop an alleged arsonist by knocking a molotov cocktail out of the suspect’s hand after he allegedly set fire to a deli. The terrifying scene took place in Brooklyn, New York. The FDNY released video of the incident. One camera caught the suspect outside the deli igniting the explosive device before throwing it inside the store. Video from inside shows how the bottle exploded and quickly engulfed the store in flames. Inside Edition Digital’s Mara Montalbano has more.","new York, crime, Inside Edition, Inside_Edition, IE Newsdesk, mara montalbano, brooklyn, new york, arson, arsonist, molotov cocktail, fire, fdny, deli fire, molotov cocktail deli",1:06
Violent arrest of 12-year-old girl in Hong Kong,https://www.youtube.com/watch?v=QqTkib7wWNA,Guardian News,"Police in Hong Kong have come under fire over the rough arrest of a 12-year-old girl whose family says was caught in a protest crowd while out buying art supplies.

Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub

Hong Kong shocked by violent police arrest of 12-year-old girl ► https://www.theguardian.com/world/2020/sep/07/hong-kong-violent-police-arrest-of-12-year-old-girl

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

The Guardian YouTube network:

The Guardian ► http://www.youtube.com/theguardian
Owen Jones talks ► http://bit.ly/subsowenjones
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Culture ► http://is.gd/guardianculture","hong kong, hong kong protest, hong kong violence, hong kong 12yr old, hkg 12 yr old arrest, 12-year-old arrested hong kong, violent arrest girl hong kong, hkg, hong kong democracy, hkg police, hong kong guardian, guardian, protest hkg, police arrests hkg, police in hong kong, 12 year old hong kong, hong kong girl arrest, 12 year old, hk, protest, arrest, hong kong news, hong kong arrest, police, hong kong police, world, hong kong protests, girl arrested, arrest hong kong, news",0:21
Dallas SWAT: Police Raid Drug House For The NINTH Time | A&E,https://www.youtube.com/watch?v=IFIyQe5QdYI,A&E,"The police are super familiar with this home's layout because this is the 9th time this house has been raided for drugs! In this scene, from Dallas SWAT.

#DallasSWAT

Subscribe for more from Dallas SWAT and other great A&E shows: http://aetv.us/subscribe-ae

Check out exclusive A&E content:
Website - http://www.aetv.com/
Facebook - https://www.facebook.com/AETV
Twitter - https://twitter.com/AETV

Watch the rest of Dallas SWAT, plus hundreds of commercial free crime series and specials on A&E Crime Central: www.aetv.com/crime-central-youtube 

""Dallas SWAT"" profiles an elite team of Texas law enforcement officers as they deal with stressful, unpredictable challenges in their professional and personal lives.

A&E® leads the cultural conversation through high-quality, thought provoking original programming with a unique point of view. Whether it's the network's distinctive brand of award-winning disruptive reality or groundbreaking documentary, A&E makes entertainment an art form. Visit us at aetv.com for more info.","a&e, aetv, a&e tv, ae, a&e television, a&e shows, a and e, a+e, Dallas Swat, Episode 12, watch Dallas SWAT, Dallas SWAT, watch Dallas SWAT fullepisode, Dallas SWAT clips, Dallas, deadly narcotics and arms warrant, new series on a&e, watch dallas swat full episode, watch dallas swat clips, watch Dallas SWAT full episode, new a&e shows, SWAT team, Police Raid Drug House For The NINTH Time, drug raid, swat team drug raid, house raided for 9th time",3:38
CAUGHT ON CAMERA:  Brampton man arrested for alleged domestic abuse,https://www.youtube.com/watch?v=INvxk0u7oIo,Toronto Sun,,"Brampton, Joe Warmingto, Peel, Toronto Sun, assault, crime, local-news, news",0:20
Abuse PSA,https://www.youtube.com/watch?v=F85XP1qoqjg,Ann & Robert H. Lurie Children's Hospital of Chicago,"You may have witnessed a situation in which a caregiver was getting overly angry, frustrated, threatening or even beginning to hit, slap or otherwise hurt a child, as seen in this video. Find out how you can help in a situation like this by visiting luriechildrens.org/stopabuse.",,0:34
Nanny caught on camera abusing disabled 4-year-old,https://www.youtube.com/watch?v=ZD-xoVdmxus,KPRC 2 Click2Houston,"A Lexington, Kentucky woman is facing charges after allegedly abusing a disabled 4-year-old boy left in her care.",National,1:02
Joe Mixon Assault Surveillance Video,https://www.youtube.com/watch?v=G5wIj7LbslY,KJRH -TV | Tulsa | Channel 2,"The attorney for Joe Mixon released surveillance video of Mixon assaulting a woman at Pickleman's Gourmet Cafe on July 25, 2014.
◂

KJRH - 2 News Works for You - brings you the latest trusted news and information for Tulsa, Green Country and Northeast Oklahoma.

Tulsa’s 2 News Works for You is your on-air, online, and mobile source for the latest breaking news, weather, investigative, in-depth and consumer reporting.

For more download the 2 News mobile app:

iPhone:  http://bit.ly/iOS-kjrh
Android:  http://bit.ly/kjrh-android","distributable, joe, mixon, video, pickleman",0:27
Gang Assault Caught On Camera,https://www.youtube.com/watch?v=3Ojsd6r4vO4,CBS New York,"Video shows a 15-year-old girl being stomped, punched and kicked by several people on a Brooklyn sidewalk.","CBS2 News This Morning, assault, attack, beating, gang assault, Crown Heights, Brooklyn, New York, Local TV",0:22
